,title,author,publisher,category,language,score,ebookPrice,audiobookPrice,paperPrice,popularity
788,Furia,Michał Larek,Czwarta Strona,Kryminał,polski,"3,7","27,90",,"34,90",15
789,Żart,Tomasz Mackiewicz,Rozpisani.pl,Kryminał,polski,"0,0","9,99",,"20,00",
790,"Zbrodnia, której nie było",Andrzej Selerowicz,Novae Res,Kryminał,polski,"0,0",,,"27,00",
791,Felicia zaginęła Tom 2 O komisarzu Williamie Wistingu,Horst Jorn Lier,Smak Słowa,Kryminał,polski,"0,0",,,"39,99",
792,Martwe listy,Caite Dolan-Leach,Filia,Kryminał,polski,"0,0",,,"39,90",
793,"To, o czym nie wiesz",JoAnn Chaney,Zysk i S-ka,Kryminał,polski,"2,8","32,00",,"39,90",
794,"Nie myśl, że znikną",Marcin Grygier,Prószyński i S-ka,Obyczajowe i romanse,Komisarz Walter,"4,1","29,60",,"37,00",
795,Tajemnica człowieka z blizną,Andy Chandler  (Alfred Hichcock),Siedmioróg,Kryminał,polski,"0,0",,,"18,50",
796,Tajemnica niewidzialnego psa,Andy Chandler,Siedmioróg,Kryminał,polski,"0,0",,,"18,50",
797,Leona Cel uświęca środki,Jenny Rogneby,Marginesy,Kryminał,polski,"0,0",,,"39,90",
798,Maigret się bawi,Simenon Georges,C&T,Kryminał,polski,"0,0",,,"19,00",
799,Bez śladu,Tana French,Albatros,Kryminał,polski,"0,0",,,"36,30",
800,Dom dla lalek,Lisa Gardner,Sonia Draga,Kryminał,Tessa Leoni,"4,2","32,00","31,00","38,00",15
801,Eliza nie zgadza się na rozwód / Testament,Zygmunt Zeydler-Zborowski,LTW,Kryminał,polski,"0,0",,,"22,00",
802,Milczenie jest srebrem,Ryszard Ćwirlej,Muza,Kryminał,Milicjanci z Poznania,"4,3","31,90",,"39,90",
803,Testament Nobla,Liza Marklund,Czarna Owca,Kryminał,polski,"0,0",,,"34,99",
804,Opiekunka do dzieci,Elisabeth Herrmann,Prószyński i S-ka,Kryminał,polski,"3,6","31,90",,"39,90",
805,Czarne narcyzy,Katarzyna Puzyńska,Prószyński i S-ka,Kryminał,Lipowo,"4,4","30,40","34,90","38,00",30
806,Kryminały kulinarne Toma Hillenbranda Diabelski owoc / Czerwone złoto,Tom Hillenbrand,Smak Słowa,Kryminał,polski,"0,0",,,"49,90",
807,Ferajna,"Miękus Robert, Petelski Janusz",Vesper,Kryminał,polski,"0,0",,,"34,90",
808,Sidney Chambers Złowroga noc,James Runcie,Marginesy,Kryminał,polski,"0,0",,,"37,90",
809,Kamień,"Kuźmińska Małgorzata, Kuźmiński Michał",Dolnośląskie,Kryminał,polski,"0,0",,,"36,90",
810,Przebiegła i ruda,MacDonald John D.,Albatros,Kryminał,polski,"0,0",,,"32,90",
811,Czarne echo,Michael Connelly,Sonia Draga,"Sensacja, thriller, horror",Harry Bosch,"4,2","32,50",,"39,00",
812,Gra pozorów,Donna Leon,Wydawnictwo Literackie/Oficyna Literacka Noir sur Blanc,Kryminał,Komisarz Brunetti,"3,9","21,00",,"29,00",
813,Jedyny świadek znika,Fletcher Joseph Smith,LTW,Kryminał,polski,"0,0",,,"22,00",
814,Długie pożegnanie,CHANDLER RAYMOND,C&T,Kryminał,polski,"0,0",,,"29,00",
815,David Hunter. Niespokojni zmarli,Simon Beckett,Czarna Owca,Kryminał,Dr David Hunter,"4,4","34,99","34,99","39,99",50
816,Smak błękitu,Skorupski Grzegorz,Oficynka,"Sensacja, thriller, horror",Adam Karski,"5,0","40,00",,"34,90",23
817,Smak strachu,Hilary Sarah,Czwarta Strona,Kryminał,Inspektor Mar­nie Rome,"4,3","31,90",,"39,90",
818,Kości mojej siostry,Nuala Ellwood,Czarna Owca,Kryminał,polski,"3,6","31,99",,"36,99",
819,Z tej samej krwi,Tobias Olsson,Czarna Owca,Kryminał,polski,"0,0","29,99",,"34,99",
820,Król sutenerów Rozenberg działa,Bachrach Daniel,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"32,80",
821,Życie po życiu,Aleksandra Marinina,Czwarta Strona,Kryminał,polski,"4,3","31,90",,"39,90",
822,Najlepsze amerykańskie opowiadania kryminalne,Wojciech Chmielarz,Albatros,Kryminał,polski,"0,0",,,"35,99",
823,Przeklęty prom,Mats Strandberg,Marginesy,Kryminał,polski,"2,6","31,90",,"39,90",
824,Zapisane w wodzie,Paula Hawkins,Świat Książki,"Sensacja, thriller, horror",polski,"3,8","31,50","36,90","36,90",20
825,W świetlistej mgle,"Higgins Clar Mary, Burke Alafair",Prószyński Media,Kryminał,polski,"0,0",,,"34,00",
826,444,Maciej Siembieda,Wielka Litera,Kryminał,Jakub Kania,"4,1","34,90","34,90","44,40",41
827,Biegacz,Piotr Bojarski,Czwarta Strona,Kryminał,Bogdan Popiołek,"3,8","29,90",,"36,90",
828,Farma lalek,Wojciech Chmielarz,Wydawnictwo Czarne,Kryminał,Jakub Mortka,"4,5","27,90","29,90","39,90",63
829,Życie na wynos,Olga Rudnicka,Prószyński i S-ka,Kryminał,polski,"4,6","26,40",,"33,00",
830,Droga do odkupienia,John Hart,Sonia Draga,Kryminał,polski,"4,0","32,50","30,00","39,00",
831,Kobra,Deon Meyer,Sonia Draga,Kryminał,Benny Griessel,"5,0","31,00",,"37,00",
832,Walther 45771,Wołowski Jacek,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"28,50",
833,Zakładnik,Przemysław Borkowski,Czwarta Strona,Kryminał,Zygmunt Rozłucki,"4,3","29,90","36,90","36,90",
834,Przetrwać noc,Łabenda Krzysztof Piotr,Psychoskok,Kryminał,polski,"0,0",,,"32,90",
835,Niebiosa mogą runąć,Allen Eskens,Burda Książki,Kryminał,polski,"4,2","25,00",,"36,90",
836,Nie wszystko zostało zapomniane,Wendy Walker,Czarna Owca,Kryminał,polski,"3,1","29,99",,"34,99",
837,Pociąg z Wenecji,Simenon Georges,C&T,Kryminał,polski,"0,0",,,"19,00",
838,Osiemnaście stopni poniżej zera,Stefan Ahnhem,Marginesy,Kryminał,Fabian Risk,"4,3","31,90",,"39,90",
839,Tajemnice Bostonu,Elizabeth Camden,Dreams,Obyczajowe i romanse,polski,"3,2","34,06",,"44,90",
840,Wysoki brzeg,Andrzej Malczewski,Rozpisani.pl,Kryminał,polski,"0,0",,,"15,00",
841,Prom,Ove Løgmansbø,Wydawnictwo Dolnośląskie,Kryminał,Vestmanna ,"4,2","28,00","35,00","35,00",22
842,Sowa,Bjork Samuel,Sonia Draga,Kryminał,polski,"0,0",,,"39,00",
843,Modlitwa do trzeciej dziewicy,Fred Vargas,Sonia Draga,Kryminał,Komisarz Adamsberg,"4,6","32,00",,"38,00",
844,Ręczna robota,Ryszard Ćwirlej,Muza,Kryminał,Milicjanci z Poznania,"4,3","31,90",,"14,90",
845,Czarna trasa,Antonio Manzini,Muza,Kryminał,Śledztwa Rocca Schiavone,"3,7","27,90",,"34,90",12
846,Poszukiwany Tony Veitch,McIlvanney William,C&T,Kryminał,polski,"0,0",,,"28,00",
847,Czarny charakter,Stachniak Łukasz,Znak,Kryminał,polski,"0,0",,,"49,90",
848,Kluczowy świadek Tom 1 O komisarzu Williamie Wistingu,Horst Jorn Lier,Smak Słowa,Kryminał,polski,"0,0",,,"39,99",
849,Syreny,Knox Joseph,Otwarte,Kryminał,polski,"0,0",,,"39,90",
850,Natalii 5,Olga Rudnicka,Prószyński i S-ka,Kryminał,Natalii 5,"4,8","26,40","32,90","33,00",
851,Pocałunek Boga,Purski Radosław,Poligraf,Kryminał,polski,"0,0",,,"40,00",
852,Dom na końcu świata,Åke Edwardson,Czarna Owca,Kryminał,polski,"0,0",,,"24,99",
853,Za zamkniętymi drzwiami,B.A. Paris,Wydawnictwo Albatros,"Sensacja, thriller, horror",polski,"4,3","28,90","29,90","32,90",97
854,Drugi przekręt Natalii,Olga Rudnicka,Prószyński i S-ka,Kryminał,Natalii 5,"5,0","26,40","32,90","33,00",
855,Inwigilacja,Remigiusz Mróz,Czwarta Strona,Kryminał,Joanna Chyłka,"4,6","29,90","39,90","39,90",163
856,Każdy jej strach,Peter Swanson,Marginesy,"Sensacja, thriller, horror",polski,"4,0","30,00",,"37,90",
857,A jej oczy były niebieskie,Hagensen Lisa,Czarna Owca,Kryminał,polski,"0,0",,,"34,99",
858,Brighton,Michael Harvey,Czarna Owca,Kryminał,polski,"3,0","29,99",,"34,99",
859,Ostatnia rola Hattie,Mindy Mejia,Burda Książki,Kryminał,polski,"3,0","25,00",,"36,90",
860,Trzeci stopień,Liselotte Roll,Czarna Owca,Kryminał,Magnus Kalo,"3,4","27,99",,"32,99",
861,Księgobójca,Maja Wolny,Czarna Owca,Kryminał,polski,"3,8","27,99","27,99","32,99",
862,Ważka,Małgorzata Rogala,Czwarta Strona,Kryminał,Agata Górska i Sławek Tomczyk,"4,4","29,90",,"36,90",27
863,Oszpicyn,Krzysztof A. Zajas,Marginesy,Kryminał,polski,"3,7","31,90",,"39,90",
864,Przyczynek do historii radości,Radka Denemarková,Amaltea,Kryminał,polski,"0,0",,,"37,90",
865,"Trąf, trąf, misia bela",Dagmara Andryka,Prószyński Media,Kryminał,polski,"0,0",,,"36,00",
866,Cieśnina Wilka,Olivier Truc,Sonia Draga,"Sensacja, thriller, horror",Klemet Nango,"4,8","32,00",,"38,00",
867,Korzenie zła,Roberto Costantini,Sonia Draga,Kryminał,Michele Balistreri,"4,5","35,00","34,00","42,00",
868,Bractwo śmierci,J. D. Robb,Prószyński i S-ka,Kryminał,In Death | Oblicza śmierci,"4,4","28,80",,"36,00",
869,Granice zła,Rebecca Griffiths,Prószyński i S-ka,Obyczajowe i romanse,polski,"0,0","30,40",,"38,00",
870,Mocne uderzenie,Ryszard Ćwirlej,Muza,Kryminał,Milicjanci z Poznania,"4,3","31,90",,"14,90",13
871,Ostatnia para ucieka,Arne Dahl,Czarna Owca,Kryminał,Opcop,"3,8","34,99",,"39,99",
872,Mroczny zaułek,Louise Doughty,Burda Książki,Kryminał,polski,"3,3","25,00",,"36,90",
873,Łowcy ognia,Mons Kallentoft,Rebis,Kryminał,Komisarz Malin Fors,"0,0","33,90",,"39,90",
874,Promień rażenia,Hannah Sophie,Literackie,Kryminał,polski,"0,0",,,"39,90",
875,Tylko umarli wiedzą,Ryszard Ćwirlej,Czwarta Strona,Kryminał,Antoni Fischer,"4,4","31,90","39,90","39,90",
876,Trzy sumienia,Gober,Rozpisani.pl,Kryminał,polski,"0,0","19,00",,"39,00",
877,Zbrodnie w Nickelswalde,Agnieszka Bernat,Novae Res,Kryminał,polski,"2,0","28,00",,"33,00",
878,W kręgach władzy Tom 1 Wotum nieufności,Remigiusz Mróz,Filia,Kryminał,polski,"0,0",,,"39,90",
879,Do trzech razy śmierć,Alek Rogoziński,Filia,Kryminał,polski,"4,0","26,90",,"36,90",20
880,Kontrakt Paganiniego,Lars Kepler,Dolnośląskie,Kryminał,polski,"0,0",,,"39,90",
881,Gdy mrok zapada Tom 11 O komisarzu Williamie Wistingu (prequell),Horst Jorn Lier,Smak Słowa,Kryminał,polski,"0,0",,,"31,99",
882,Niebezpieczna gra,Joanna Opiat-Bojarska,Czwarta Strona,Kryminał,Aleksandra Wilk,"4,0","29,90",,"36,90",13
883,Świt który nie nadejdzie,Remigiusz Mróz,Czwarta Strona,Kryminał,polski,"0,0",,,"36,90",
